,(AO)Percentage SLAs Met,Ageing,Average Resolution Effort - Incidents,Average Resolution Effort - Problems,Backlog Processing Efficiency - Incidents,Backlog Processing Efficiency - Problems,Delivered Defects,clusters,scores,anomaly,warning
347,100,0,2.18,0,1.03,1,0,0,0.23533522,0,No issues detected
348,85.71,0,0,0.45,1,1.27,0,0,0.172772089,0,No issues detected
349,100,0,4.42,14.56,1.07,1,0,0,0.234565566,0,No issues detected
350,100,0,6.36,8,1.36,1,0,0,0.228132168,0,No issues detected
351,100,0,6.17,23.5,1.03,1,0,0,0.231521719,0,No issues detected
352,100,0,1.58,6,0.96,1,0,0,0.233665411,0,No issues detected
353,100,0,9.93,4,1,1,0,0,0.229716874,0,No issues detected
354,100,0,12,45,0.91,1,0,0,0.222569207,0,No issues detected
355,100,1,1,10,1,1,1,0,0.231358587,0,No issues detected
356,100,0,1,1,1,1,1,0,0.234691454,0,No issues detected
357,100,1,1,1,1,1,1,0,0.23330745,0,No issues detected
358,100,0,1,1.11,1,1,0,0,0.235544643,0,No issues detected
359,100,0,1.5,1.5,1,1,0,0,0.234522185,0,No issues detected
360,100,0,7.38,8,1.04,1.25,0,0,0.227307422,0,No issues detected
361,100,4,4.8,8.5,1.14,0.8,0,0,0.226589347,0,No issues detected
362,100,0,0.41,1,0.98,1,0,0,0.235310321,0,No issues detected
